CompanyID,Age,YearFounded,GrowthStageGroup,GrowthNextStageGroup,TimeNextStageGroup,N_Deal,TotalRaised,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,Institute,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,UndisclosedAmountShare,N_Similar
1,0,2012,,,8,0,0.0,100.0,true,false,false,false,false,false,false,true,Politecnico di Milano; Massachusetts Institute of Technology,1.0117510510924461,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Italy,Information Technology,65.0,3,2,,,,,false,1,false,false,0,4.0,2010.0,0.0,4
1,1,2012,Early,Later,5,1,0.8,100.0,true,false,false,false,false,false,false,true,Politecnico di Milano; Massachusetts Institute of Technology,1.0117510510924461,1,false,false,false,0.1,true,false,false,false,false,false,false,true,false,false,Italy,Information Technology,65.0,3,2,4,Female,300.0,1.0117510510924461,false,1,false,false,1,4.0,2010.0,0.0,4
1,2,2012,Early,Later,4,1,0.0,100.0,true,false,false,false,false,false,false,true,Politecnico di Milano; Massachusetts Institute of Technology,1.0117510510924461,1,false,false,false,0.1,true,false,false,false,false,false,false,true,false,false,Italy,Information Technology,65.0,3,2,4,Female,300.0,1.0117510510924461,false,1,false,false,1,4.0,2010.0,0.0,4
1,3,2012,Early,Later,3,2,3.5,50.0,true,false,false,false,false,false,false,true,ETH Zurich; Politecnico di Milano; Massachusetts Institute of Technology,0.539321596427872,1,false,false,false,2.05,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,4,Female,210.0,1.0117510510924461,false,2,false,false,2,4.5,2009.5,0.0,4
1,4,2012,Early,Later,2,2,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.25535072286390353,1,false,false,false,2.05,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,4,Female,210.0,1.0117510510924461,false,3,false,false,2,4.0,2010.3333333333333,0.0,4
1,5,2012,Early,Later,1,2,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.25535072286390353,1,false,false,false,2.05,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,4,Female,210.0,1.0117510510924461,false,3,false,false,2,4.0,2010.3333333333333,0.0,4
1,6,2012,Later,Later,2,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.25535072286390353,1,false,false,false,4.7,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,3,Male,148.33333333333334,-0.3125910242640335,false,3,false,false,3,4.0,2010.3333333333333,1.0,4
1,7,2012,Later,Later,1,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.25535072286390353,1,false,false,false,4.7,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,3,Male,148.33333333333334,-0.3125910242640335,false,3,false,false,3,4.0,2010.3333333333333,0.0,4
1,8,2012,Later,Later,0,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.25535072286390353,1,false,false,false,4.7,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,65.0,3,2,3,Male,148.33333333333334,-0.3125910242640335,false,3,false,false,3,4.0,2010.3333333333333,0.0,4
2,0,2013,,,6,0,0.0,100.0,false,false,true,false,false,true,false,false,Universita di Padova; Universita di Padova,-0.6613103347703463,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Italy,Healthcare,0.0,0,0,,,,,false,1,false,false,0,5.0,2013.0,0.0,0
2,1,2013,Early,Exit,5,1,0.5,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.36324053535892853,1,false,false,false,0.3,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,8.0,-0.06517073594751073,true,2,false,false,1,4.5,2013.0,0.0,0
2,2,2013,Early,Exit,4,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.36324053535892853,1,false,false,false,0.3,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,8.0,-0.06517073594751073,true,2,false,false,1,4.5,2013.0,0.0,0
2,3,2013,Early,Exit,3,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.36324053535892853,1,false,false,false,0.3,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,8.0,-0.06517073594751073,true,2,false,false,1,4.5,2013.0,0.0,0
2,4,2013,Early,Exit,2,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.36324053535892853,1,false,false,false,0.3,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,8.0,-0.06517073594751073,true,2,false,false,1,4.5,2013.0,0.0,0
2,5,2013,Early,Exit,1,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.36324053535892853,1,false,false,false,0.3,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,8.0,-0.06517073594751073,true,2,false,false,1,4.5,2013.0,0.0,0
