CompanyID,Age,YearFounded,GrowthStageGroup,GrowthNextStageGroup,TimeNextStageGroup,N_Deal,TotalRaised,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,Institute,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,UndisclosedAmountShare,N_Similar
1,0,2012,,,8,0,0.0,100.0,false,false,false,false,false,false,false,true,Politecnico di Milano,0.10942029843979635,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Italy,Information Technology,66.66666666666667,2,1,,,,,false,1,false,false,0,4.0,2010.0,0.0,3
1,1,2012,Early,Later,5,1,0.8,100.0,false,false,false,false,false,false,false,true,Politecnico di Milano,0.1435002913476867,1,false,false,false,0.8,true,false,false,false,false,false,false,true,false,false,Italy,Information Technology,80.0,2,1,4,Female,1.0,0.1435002913476867,false,1,false,false,1,4.0,2010.0,0.0,2
1,2,2012,Early,Later,4,1,0.0,100.0,false,false,false,false,false,false,false,true,Politecnico di Milano,0.14564381625088382,1,false,false,false,0.8,true,false,false,false,false,false,false,true,false,false,Italy,Information Technology,80.0,2,1,4,Female,1.0,0.14564381625088382,false,1,false,false,1,4.0,2010.0,0.0,2
1,3,2012,Early,Later,3,2,3.5,50.0,false,false,false,false,false,false,false,true,ETH Zurich; Politecnico di Milano,0.38404766392325723,1,false,false,false,2.15,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,80.0,2,1,4,Female,1.0,0.6909013992610604,false,2,false,false,2,4.5,2009.5,0.0,2
1,4,2012,Early,Later,2,2,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.2131861036325503,1,false,false,false,2.15,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,80.0,2,1,4,Female,1.0,0.5904893844259043,false,3,false,false,2,4.0,2010.3333333333333,0.0,2
1,5,2012,Early,Later,1,2,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.4163308606158666,1,false,false,false,2.15,true,false,true,false,false,false,true,true,false,false,Italy,Information Technology,90.0,1,1,4,Female,1.0,1.260759518532052,false,3,false,false,2,4.0,2010.3333333333333,0.0,1
1,6,2012,Later,Later,2,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.3872590327976586,1,false,false,false,1.45,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,90.0,1,1,3,Male,1.3333333333333333,-0.1793847848809835,false,3,false,false,3,4.0,2010.3333333333333,1.0,1
1,7,2012,Later,Later,1,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.35614518740280654,1,false,false,false,1.45,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,90.0,1,1,3,Male,1.3333333333333333,-0.2146781022582548,false,3,false,false,3,4.0,2010.3333333333333,0.0,1
1,8,2012,Later,Later,0,3,0.0,33.33333333333333,true,true,false,false,false,false,false,true,ETH Zurich; Universita di Bologna; Politecnico di Milano; Massachusetts Institute of Technology,0.33689507873793606,1,false,false,false,1.45,true,true,true,false,false,false,true,true,false,false,Italy,Information Technology,90.0,1,1,3,Male,1.3333333333333333,-0.24474719636411987,false,3,false,false,3,4.0,2010.3333333333333,0.0,1
2,0,2013,,,6,0,0.0,100.0,false,false,true,false,false,false,false,false,Universita di Padova,-0.6124286546707678,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Italy,Healthcare,0.0,0,0,,,,,false,1,false,false,0,3.0,2013.0,0.0,0
2,1,2013,Early,Exit,5,1,0.5,50.0,true,false,true,false,false,false,false,false,INSEAD; Universita di Padova,-0.21846572437632572,1,false,false,false,0.35,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,2.0,0.14564381625088382,true,2,false,false,1,3.5,2013.0,0.0,0
2,2,2013,Early,Exit,4,1,0.0,50.0,true,false,true,false,false,false,false,false,INSEAD; Universita di Padova,-0.0903030867409226,1,false,false,false,0.35,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,2.0,0.3375097933720947,true,2,false,false,1,3.5,2013.0,0.0,0
2,3,2013,Early,Exit,3,1,0.0,50.0,true,false,true,false,false,false,false,false,INSEAD; Universita di Padova,-0.15896498091983985,1,false,false,false,0.35,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,2.0,0.21831880874760748,true,2,false,false,1,3.5,2013.0,0.0,0
2,4,2013,Early,Exit,2,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.20709279591530994,1,false,false,false,0.35,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,2.0,0.14805175718508803,true,2,false,false,1,4.5,2013.0,0.0,0
2,5,2013,Early,Exit,1,1,0.0,50.0,true,false,true,false,false,true,false,false,INSEAD; Universita di Padova; Universita di Padova,-0.23760978200049124,1,false,false,false,0.35,false,false,false,false,true,false,false,false,false,false,Italy,Healthcare,0.0,0,0,4,Male,2.0,0.10504136777321856,true,2,false,false,1,4.5,2013.0,0.0,0
3,0,2014,,,4,0,0.0,0.0,false,false,false,false,false,false,false,true,Universita di Cagliari,-0.5825752650035353,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Spain,Information Technology,55.0,1,0,4,Male,,-0.5825752650035353,false,1,false,false,0,4.0,2013.0,0.0,1
3,1,2014,Early,Out,3,1,0.05,0.0,false,false,false,false,false,false,false,true,Universita di Cagliari,-0.5181159668539399,1,false,false,false,0.8,true,false,false,false,false,false,false,true,false,false,Spain,Information Technology,55.0,1,0,4,Male,3.0,-0.5181159668539399,false,2,false,false,1,3.0,2012.5,0.0,1
3,2,2014,Early,Out,2,1,0.0,0.0,false,false,false,false,false,false,false,true,Universita di Cagliari,-0.1935765621661162,1,false,false,false,0.8,true,false,false,false,false,false,false,true,false,false,Spain,Information Technology,55.0,1,0,4,Male,3.0,0.14909564625505473,false,2,false,false,1,3.0,2012.5,0.0,1
3,3,2014,Early,Out,1,1,0.0,0.0,false,false,false,false,false,false,false,true,Universita di Cagliari,-0.2240778424927479,1,false,false,false,0.8,true,false,false,false,false,false,false,true,false,false,Spain,Information Technology,55.0,1,0,4,Male,3.0,0.11408166403021207,false,2,false,false,1,3.0,2012.5,0.0,1
4,0,2015,Early,Early,6,1,0.1,0.0,true,false,false,false,false,false,false,false,INSEAD,0.3375097933720947,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.3375097933720947,false,1,true,false,0,4.0,,0.0,0
4,1,2015,Early,Early,5,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.21831880874760748,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.21831880874760748,false,1,true,false,0,4.0,,0.0,0
4,2,2015,Early,Early,4,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.14805175718508803,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.14805175718508803,false,1,true,false,0,4.0,,0.0,0
4,3,2015,Early,Early,3,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.10504136777321856,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.10504136777321856,false,1,true,false,0,4.0,,0.0,0
4,4,2015,Early,Early,2,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.05828833229246818,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.05828833229246818,false,1,true,false,0,4.0,,0.0,0
4,5,2015,Early,Early,1,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.015855587271207023,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.015855587271207023,false,1,true,false,0,4.0,,0.0,0
4,6,2015,Early,Early,0,1,0.0,0.0,true,false,false,false,false,false,false,false,INSEAD,0.007087047416910464,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,France,Consumer Products and Services,0.0,0,0,4,Male,,0.007087047416910464,false,1,true,false,0,4.0,,0.0,0
5,0,2011,,,8,0,0.0,100.0,false,false,false,false,false,false,true,false,Universita di Roma,,1,false,false,false,,false,false,false,false,false,false,false,false,false,false,Germany,Energy,0.0,0,0,,,,,false,1,false,false,0,4.0,2005.0,0.0,0
5,1,2011,Early,Later,6,1,0.2,100.0,false,false,false,false,false,false,true,false,Universita di Roma,0.5812255448402355,1,false,false,false,0.2,false,false,false,false,true,false,false,false,false,false,Germany,Energy,0.0,0,0,4,Female,1.0,0.5812255448402355,true,1,false,false,1,4.0,2005.0,0.0,0
5,2,2011,Early,Later,5,1,0.0,50.0,false,true,false,false,false,false,true,false,Universita di Bologna; Universita di Roma,0.05423801199589895,1,false,false,false,0.2,false,false,false,false,true,false,false,false,false,false,Germany,Energy,0.0,0,0,4,Female,1.0,0.7209046786625657,true,2,false,false,1,3.5,2008.5,0.0,0
5,3,2011,Early,Later,4,2,0.4,50.0,false,true,false,false,false,false,true,false,Universita di Bologna; Universita di Roma,0.1456438162508838,1,false,false,false,0.2,false,false,false,false,true,false,false,false,false,false,Germany,Energy,0.0,0,0,4,Female,1.0,0.8738628975053029,true,2,false,false,1,3.5,2008.5,0.0,0
5,4,2011,Early,Later,3,2,0.0,50.0,false,true,false,false,false,false,true,false,Universita di Bologna; Universita di Roma,0.20735186097877428,1,false,false,false,0.2,false,false,false,false,true,false,false,false,false,false,Germany,Energy,0.0,0,0,4,Female,1.0,0.9328196888114885,true,2,false,false,1,3.5,2008.5,0.0,0
5,5,2011,Early,Later,2,3,1.2,100.0,false,false,false,false,false,false,true,false,Universita di Roma,0.8984915382230789,1,false,false,false,0.2,false,false,true,false,true,false,true,false,false,false,Germany,Energy,0.0,0,0,4,Female,1.0,0.8984915382230789,true,1,false,false,2,4.0,2005.0,0.0,0
